album_id,album_title,track_number,track_title,genre_tags,caption
1,Lakota Music Project,1,Black Hills Olowan,orchestral; Native American; Lakota,"Black Hills Olowan. Style: orchestral, Native American, Lakota. Commissioned by the SDSO in 2009. Honors the relationship between the Black Hills and the Lakota people. Integrates the traditional Lakota song 'Heart Butte Special' into an orchestral texture. In the concluding moments, the singers become the leading voice."
1,Lakota Music Project,2,Wind on Clear Lake,orchestral; Native American; Dakota flute,"Wind on Clear Lake. Style: orchestral, Native American, Dakota flute. Composed for the SDSO and Dakota flutist Bryan Akipa. Describes Clear Lake in South Dakota, its deep spirituality. Soundscape suggests waves lapping, leaves rustling, wind chimes, distant thunder, frogs, barn swallows."
1,Lakota Music Project,3,Victory Songs,orchestral; Lakota language; song cycle,"Victory Songs. Style: orchestral, Lakota language, song cycle. Orchestral rhapsody sung in the Lakota language, inspired by writings of Charles Alexander Eastman, composed in honor of Lloyd Running Bear Sr. and all Lakota Indian warriors. Each movement depicts a legendary Lakota warrior and his deeds."
1,Lakota Music Project,4,Desert Wind,chamber; Native American; guitar,"Desert Wind. Style: chamber, Native American, guitar. Originally composed on a pawn shop electric guitar. Described as both contemplative and a primal cry into the beautiful and endless open spaces of the natural world."
1,Lakota Music Project,5,Amazing Grace,orchestral; traditional; Lakota; arrangement,"Amazing Grace. Style: orchestral, traditional, Lakota, arrangement. Inspired by the discovery that Amazing Grace is a traditional song for Lakota drumming groups. Created while composer-in-residence at SDSO. Wiprud writes: 'Perhaps this work captures what we're doing here — finding common ground as equals between two long musical traditions.'"
2,Memories,1,Into the Sunset,contemporary; Indigenous; original song,"Into the Sunset. Style: contemporary, Indigenous, original song"
2,Memories,2,When I Close My Eyes,contemporary; Indigenous; original song,"When I Close My Eyes. Style: contemporary, Indigenous, original song"
2,Memories,3,When I Last Seen You,contemporary; Indigenous; original song,"When I Last Seen You. Style: contemporary, Indigenous, original song"
2,Memories,4,Such Good Memories,contemporary; Indigenous; original song,"Such Good Memories. Style: contemporary, Indigenous, original song"
2,Memories,5,Can't Get You Off My Mind,contemporary; Indigenous; original song,"Can't Get You Off My Mind. Style: contemporary, Indigenous, original song"
2,Memories,6,Baby Girl,contemporary; Indigenous; original song,"Baby Girl. Style: contemporary, Indigenous, original song"
2,Memories,7,In the Morning,contemporary; Indigenous; original song,"In the Morning. Style: contemporary, Indigenous, original song"
